	filename	total_features	plantmasst_features	percentage	Sample_type	MS_type	PERIOD	TREAT	wet_weight	SampleID	diet
22	Sep2023_conjBA_BeefDiet_034_L1-3.mzML	125575859.120193	23111495.50789002	18.40440962921799	L1-3	MS1_pos	DP2	AAD	26.4	201.0	American
52	Sep2023_conjBA_BeefDiet_054_L1-125.mzML	217712742.3567441	40997550.997910015	18.831029619171957	L1-125	MS1_pos	DP2	AAD	24.1	230.0	American
120	Sep2023_conjBA_BeefDiet_123_L1-81_20230922221546.mzML	167118843.82070595	36847308.09196	22.048565709018288	L1-81	MS1_pos	DP2	AAD	25.9	219.0	American
105	Sep2023_conjBA_BeefDiet_125_L1-136.mzML	126984548.99711703	31454137.647013992	24.770051077417385	L1-136	MS1_pos	DP1	AAD	24.3	234.0	American
40	Sep2023_conjBA_BeefDiet_047_L1-13.mzML	141884330.55161494	40352600.695830025	28.440491306508637	L1-13	MS1_pos	DP1	AAD	25.0	204.0	American
55	Sep2023_conjBA_BeefDiet_057_L1-112.mzML	322668721.7407303	37236292.13196001	11.540099682137766	L1-112	MS1_pos	DP4	AAD	25.5	227.0	American
125	Sep2023_conjBA_BeefDiet_140_L1-107.mzML	140548933.4293822	26504851.334656008	18.85809496233081	L1-107	MS1_pos	DP4	AAD	27.3	226.0	American
57	Sep2023_conjBA_BeefDiet_064_L1-89.mzML	199881055.38535854	37418735.456720024	18.72050124239087	L1-89	MS1_pos	DP3	AAD	25.2	222.0	American
129	Sep2023_conjBA_BeefDiet_135_L1-132.mzML	318164107.36940616	38790146.85154001	12.191867640966333	L1-132	MS1_pos	DP3	AAD	25.7	232.0	American
30	Sep2023_conjBA_BeefDiet_042_L1-41.mzML	146131800.20896113	25503669.025930002	17.452511355817858	L1-41	MS1_pos	DP3	AAD	23.9	210.0	American
29	Sep2023_conjBA_BeefDiet_039_L1-10.mzML	289001277.44535667	60238916.87418004	20.84382373900399	L1-10	MS1_pos	DP4	AAD	28.8	202.0	American
102	Sep2023_conjBA_BeefDiet_107_L1-114.mzML	430914633.8301379	94801482.24624999	22.000060987397273	L1-114	MS1_pos	DP1	AAD	28.8	228.0	American
63	Sep2023_conjBA_BeefDiet_065_L1-146.mzML	234458253.67646015	24624899.525220014	10.502893005081006	L1-146	MS1_pos	DP4	AAD	22.6	236.0	American
25	Sep2023_conjBA_BeefDiet_043_L1-72.mzML	279893291.195175	41859005.79320999	14.955344450903935	L1-72	MS1_pos	DP3	AAD	22.6	217.0	American
66	Sep2023_conjBA_BeefDiet_075_L1-76.mzML	311655965.8838408	51155040.27367001	16.413945463420497	L1-76	MS1_pos	DP2	AAD	24.2	218.0	American
