,Field labels,Acetylcholine,Cannabidiol,Dopamine,GABA,Glutamate,Norepinephrine,Serotonin,THC,Tryptamine
,Field colors,#FF0000,#00FF00,#0000FF,#FFFF00,#000000,#000000,#000000,#000000,#800080
,Field shapes,rectangle,circle,triangle right,star,rectangle,circle,triangle right,star,triangle left
Tree node ID,Tree node label,↓ ↓ INSERT YOUR DATA BELOW ↓ ↓,,,,,,,,
Ctenidium molluscum',Ctenidium molluscum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ginkgo biloba',Ginkgo biloba',-1,-1,-1,-1,-1,-1,-1,-1,-1
Jungermannia,Jungermannia,-1,-1,-1,-1,-1,-1,-1,-1,-1
Marchantia polymorpha',Marchantia polymorpha',-1,-1,1,-1,-1,-1,-1,-1,-1
Gnetum edule',Gnetum edule',-1,-1,-1,-1,-1,-1,-1,-1,-1
Welwitschia mirabilis',Welwitschia mirabilis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ephedra distachya subsp. helvetica',Ephedra distachya subsp. helvetica',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ephedra viridis',Ephedra viridis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ephedra sinica',Ephedra sinica',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cycas circinalis',Cycas circinalis',-1,-1,-1,-1,1,-1,-1,-1,-1
Cycas siamensis',Cycas siamensis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Dioon edule',Dioon edule',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ceratozamia mexicana',Ceratozamia mexicana',-1,-1,-1,-1,-1,-1,-1,-1,-1
Zamia pumila',Zamia pumila',-1,-1,-1,-1,-1,-1,-1,-1,-1
Encephalartos altensteinii',Encephalartos altensteinii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Lycopodium clavatum',Lycopodium clavatum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Huperzia serrata',Huperzia serrata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Selaginella delicatula',Selaginella delicatula',-1,-1,-1,-1,-1,-1,-1,-1,-1
Selaginella davidii',Selaginella davidii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Selaginella uncinata',Selaginella uncinata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Selaginella tamariscina',Selaginella tamariscina',-1,-1,-1,-1,-1,-1,-1,-1,-1
Selaginella moellendorffii',Selaginella moellendorffii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Selaginella kraussiana',Selaginella kraussiana',-1,-1,-1,-1,-1,-1,-1,-1,-1
Salvinia natans',Salvinia natans',-1,-1,-1,-1,-1,-1,-1,-1,-1
Psilotum nudum',Psilotum nudum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Dicksonia antarctica',Dicksonia antarctica',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cibotium barometz',Cibotium barometz',-1,-1,-1,-1,-1,-1,-1,-1,-1
Equisetum arvense',Equisetum arvense',-1,-1,-1,-1,-1,-1,-1,-1,-1
Equisetum hyemale',Equisetum hyemale',-1,-1,-1,-1,-1,-1,-1,-1,-1
Lygodium salicifolium',Lygodium salicifolium',-1,-1,-1,-1,-1,-1,-1,-1,-1
Lygodium palmatum',Lygodium palmatum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Lygodium japonicum',Lygodium japonicum',-1,-1,-1,-1,-1,-1,-1,-1,-1
