Start node ID,Start node label,End node ID,Fill color
Oxalidaceae,Oxalidaceae,Oxalidaceae,#A52A2A
Apiaceae,Apiaceae,Apiaceae,#228B22
Caprifoliaceae,Caprifoliaceae,Caprifoliaceae,#FFFF00
Rhamnaceae,Rhamnaceae,Rhamnaceae,#556B2F
Cannabaceae,Cannabaceae,Cannabaceae,#00CED1
Ulmaceae,Ulmaceae,Ulmaceae,#5F9EA0
Fabaceae,Fabaceae,Fabaceae,#98FB98
Zingiberaceae,Zingiberaceae,Zingiberaceae,#BC8F7F
Arecaceae,Arecaceae,Arecaceae,#00FF7F
Elaeagnaceae,Elaeagnaceae,Elaeagnaceae,#CD853F
Amaranthaceae,Amaranthaceae,Amaranthaceae,#0000FF
Lamiaceae,Lamiaceae,Lamiaceae,#DC143C
Araceae,Araceae,Araceae,#808000
Commelinaceae,Commelinaceae,Commelinaceae,#4B0082
Costaceae,Costaceae,Costaceae,#FF00FF
Bromeliaceae,Bromeliaceae,Bromeliaceae,#6B8E23
Lauraceae,Lauraceae,Lauraceae,#FFDAB9
Betulaceae,Betulaceae,Betulaceae,#6495ED
Rubiaceae,Rubiaceae,Rubiaceae,#20B2AA
Caricaceae,Caricaceae,Caricaceae,#F0FFF0
Acanthaceae,Acanthaceae,Acanthaceae,#32CD32
Apocynaceae,Apocynaceae,Apocynaceae,#000080
Chenopodiaceae,Chenopodiaceae,Chenopodiaceae,#00FF00
Cactaceae,Cactaceae,Cactaceae,#AFEEEE
Musaceae,Musaceae,Musaceae,#BC8F8F
Asteraceae,Asteraceae,Asteraceae,#008000
Euphorbiaceae,Euphorbiaceae,Euphorbiaceae,#2E8B57
Cucurbitaceae,Cucurbitaceae,Cucurbitaceae,#800000
Liliaceae,Liliaceae,Liliaceae,#40E0D0
Malvaceae,Malvaceae,Malvaceae,#FFEFD5
Cupressaceae,Cupressaceae,Cupressaceae,#FF4500
Passifloraceae,Passifloraceae,Passifloraceae,#8B4513
Actinidiaceae,Actinidiaceae,Actinidiaceae,#A0522D
Ranunculaceae,Ranunculaceae,Ranunculaceae,#FF1493
Berberidaceae,Berberidaceae,Berberidaceae,#DA70D6
Phytolaccaceae,Phytolaccaceae,Phytolaccaceae,#00FFFF
Urticaceae,Urticaceae,Urticaceae,#B22222
Scrophulariaceae,Scrophulariaceae,Scrophulariaceae,#800080
Annonaceae,Annonaceae,Annonaceae,#B0E0E6
Papaveraceae,Papaveraceae,Papaveraceae,#DAA520
Rutaceae,Rutaceae,Rutaceae,#D2691E
Myrtaceae,Myrtaceae,Myrtaceae,#FF8C00
Piperaceae,Piperaceae,Piperaceae,#FF69B4
Amaryllidaceae,Amaryllidaceae,Amaryllidaceae,#FFD700
Cyperaceae,Cyperaceae,Cyperaceae,#008080
Solanaceae,Solanaceae,Solanaceae,#FA8072
Adoxaceae,Adoxaceae,Adoxaceae,#4682B4
Podocarpaceae,Podocarpaceae,Podocarpaceae,#8B008B
Malpighiaceae,Malpighiaceae,Malpighiaceae,#7FFFD4
Polypodiaceae,Polypodiaceae,Polypodiaceae,#FFE4B5
Asparagaceae,Asparagaceae,Asparagaceae,#FF6347
Asphodelaceae,Asphodelaceae,Asphodelaceae,#D2B48C
Oleaceae,Oleaceae,Oleaceae,#808080
Primulaceae,Primulaceae,Primulaceae,#2F4F4F
Orchidaceae,Orchidaceae,Orchidaceae,#9370DB
Rosaceae,Rosaceae,Rosaceae,#1E90FF
Caryophyllaceae,Caryophyllaceae,Caryophyllaceae,#B0C4DE
Poaceae,Poaceae,Poaceae,#8A2BE2
Juglandaceae,Juglandaceae,Juglandaceae,#DEB887
Plantaginaceae,Plantaginaceae,Plantaginaceae,#FF0000
Theaceae,Theaceae,Theaceae,#FFA500
