Species,Plant_Family,Acetylcholine,Cannabidiol,Dopamine,Glutamic_acid,Norepinephrine,Serotonin,THC,Tryptamine
Abroma augustum,Malvaceae,0,0,0,1,0,1,0,0
Abutilon grandifolium,Malvaceae,0,0,0,1,0,0,0,0
Acer campestre,Sapindaceae,0,0,0,1,0,0,0,0
Acer fabri,Sapindaceae,0,0,0,0,0,1,0,0
Acer monspessulanum subsp. monspessulanum,Sapindaceae,0,0,0,1,0,0,0,0
Acer saccharum,Sapindaceae,0,0,0,1,0,0,0,0
Achatocarpus praecox,Achatocarpaceae,0,0,0,0,1,0,0,0
Acmanthera latifolia,Malpighiaceae,0,0,0,0,0,0,0,1
Acridocarpus smeathmannii,Malpighiaceae,0,0,0,0,0,0,0,1
Actaea racemosa,Ranunculaceae,0,0,0,0,0,1,0,0
Actinidia deliciosa,Actinidiaceae,0,0,0,0,0,1,0,1
Adansonia za,Malvaceae,0,0,0,1,0,0,0,0
Adenia monadelpha,Passifloraceae,0,0,0,0,0,1,0,0
Adenia olaboensis,Passifloraceae,0,0,0,0,0,1,0,0
Aechmea nudicaulis,Bromeliaceae,0,0,1,0,1,0,0,0
Aegilops speltoides,Poaceae,0,0,0,0,0,1,0,0
Aeonium,Crassulaceae,0,0,0,0,1,0,0,0
Aframomum melegueta,Zingiberaceae,0,0,0,0,0,1,0,0
Afzelia bipindensis,Fabaceae,0,0,0,0,0,1,0,0
Agapanthus praecox subsp. orientalis,Amaryllidaceae,0,0,0,0,0,1,0,0
Agonandra,Opiliaceae,0,0,0,0,0,1,0,0
Agrimonia pilosa,Rosaceae,0,0,0,1,0,0,0,0
Ailanthus altissimus,Simaroubaceae,0,0,0,1,0,0,0,0
Alibertia,Rubiaceae,0,0,1,0,0,1,0,0
Alicia,Malpighiaceae,0,0,1,0,1,0,0,0
Allophylus cobbe,Sapindaceae,0,0,0,0,0,1,0,0
Alnus alnobetula subsp. crispa,Betulaceae,0,0,0,1,0,0,0,0
Alnus glutinosa,Betulaceae,0,0,0,1,0,1,0,0
Aloe arborescens,Asphodelaceae,0,0,1,0,0,0,0,0
Aloiampelos ciliaris,Asphodelaceae,0,0,0,0,0,1,0,0
Alpinia galanga,Zingiberaceae,0,0,0,1,0,0,0,0
Alpinia hainanensis,Zingiberaceae,0,0,0,1,0,0,0,0
Alpinia officinarum,Zingiberaceae,0,0,0,0,0,1,0,0
Amanoa,Phyllanthaceae,0,0,1,0,0,0,0,0
Amaranthus albus,Amaranthaceae,0,0,0,0,0,1,0,0
Amaranthus blitum,Amaranthaceae,0,0,0,0,0,1,0,1
Amaranthus hypochondriacus,Amaranthaceae,0,0,0,0,0,1,0,0
Amaranthus tricolor,Amaranthaceae,0,0,0,0,0,1,0,1
Amaranthus tuberculatus,Amaranthaceae,0,0,0,1,0,1,0,0
Ambrosia artemisiifolia,Asteraceae,0,0,0,0,0,1,0,0
Amelanchier canadensis,Rosaceae,0,0,0,1,0,0,0,0
Amomum krervanh,Zingiberaceae,0,0,0,1,0,0,0,0
Amorphophallus konjac,Araceae,0,0,1,0,0,0,0,0
Ampelocissus arachnoidea,Vitaceae,0,0,0,0,0,1,0,0
Amphipterygium adstringens,Anacardiaceae,0,0,0,0,0,0,0,1
Anacampseros,Anacampserotaceae,0,0,0,0,0,1,0,0
Anadenanthera colubrina,Fabaceae,0,0,0,0,0,1,0,0
Ananas comosus,Bromeliaceae,0,0,0,1,0,1,0,0
Anemonastrum narcissiflorum,Ranunculaceae,0,0,0,0,1,0,0,0
Anethum foeniculum,Apiaceae,0,0,0,1,0,1,0,0
Anethum graveolens,Apiaceae,0,0,0,1,0,0,0,0
Anigozanthos viridis,Haemodoraceae,0,0,0,0,0,1,0,0
Annona cherimola,Annonaceae,0,0,1,0,0,0,0,0
Anthurium andraeanum,Araceae,0,0,0,0,0,1,0,0
Aquilaria agallochum,Thymelaeaceae,0,0,0,0,0,1,0,0
Arabidopsis thaliana,Brassicaceae,0,0,0,1,0,1,0,0
Arachis hypogaea,Fabaceae,0,0,0,0,0,1,0,0
Aralia spinosa,Araliaceae,0,0,0,1,0,0,0,0
Arbutus unedo,Ericaceae,0,0,0,1,0,0,0,0
Arctium lappa,Asteraceae,0,0,0,1,0,1,0,0
Ardisia crenata,Primulaceae,0,0,0,0,0,0,0,1
Areca catechu,Arecaceae,0,0,0,0,0,1,0,0
Argentina anserina,Rosaceae,0,0,0,0,1,0,0,0
Arisaema heterophyllum,Araceae,0,0,0,1,0,0,0,0
Aristolochia californica,Aristolochiaceae,0,0,0,0,0,1,0,0
Aristolochia fimbriata,Aristolochiaceae,0,0,0,0,0,1,0,0
Artemisia annua,Asteraceae,0,0,0,1,0,1,0,0
Artemisia capillaris,Asteraceae,0,0,0,1,0,0,0,0
Asimina triloba,Annonaceae,0,0,1,0,1,1,0,0
Asparagus officinalis,Asparagaceae,0,0,0,0,0,1,0,1
Avena barbata,Poaceae,0,0,1,1,1,0,0,0
Averrhoa carambola,Oxalidaceae,0,0,0,1,0,0,0,0
Axinaea,Melastomataceae,0,0,0,0,0,1,0,1
Bambusa vulgaris,Poaceae,0,0,1,1,1,1,0,0
Banisteriopsis caapi,Malpighiaceae,0,0,0,0,0,0,0,1
Banisteriopsis harleyi,Malpighiaceae,0,0,0,0,0,1,0,0
Banisteriopsis malifolia,Malpighiaceae,0,0,0,0,0,1,0,1
Banisteriopsis parviglandula,Malpighiaceae,0,0,0,0,0,1,0,1
Banisteriopsis stellaris,Malpighiaceae,0,0,0,0,0,0,0,1
Banisteriopsis variabilis,Malpighiaceae,0,0,0,0,0,1,0,1
Baptisia tinctoria,Fabaceae,0,0,0,0,1,0,0,0
Basella alba,Basellaceae,0,0,1,0,0,0,0,0
Bassia scoparia,Chenopodiaceae,0,0,1,0,0,0,0,0
Bathysa australis,Rubiaceae,0,0,1,0,0,1,0,0
Bauhinia galpinii,Fabaceae,0,0,0,0,1,0,0,0
Bauhinia purpurea,Fabaceae,0,0,0,0,1,0,0,0
Bauhinia variegata,Fabaceae,0,0,0,0,1,1,0,0
Bellucia,Melastomataceae,0,0,1,0,0,1,0,0
Benkara,Rubiaceae,0,0,1,1,0,1,0,0
Berberis aquifolium,Berberidaceae,0,0,0,0,1,0,0,0
Berberis thunbergii,Berberidaceae,0,0,0,0,1,0,0,0
Beta vulgaris subsp. vulgaris,Chenopodiaceae,0,0,0,0,1,0,0,0
Betula glandulosa,Betulaceae,0,0,0,1,0,0,0,0
Betula neoalaskana,Betulaceae,0,0,0,1,0,0,0,0
Betula populifolia,Betulaceae,0,0,0,0,0,1,0,0
Betula pubescens,Betulaceae,0,0,0,1,0,0,0,0
Blighia sapida,Sapindaceae,0,0,0,1,0,0,0,0
Bougainvillea spectabilis,Nyctaginaceae,0,0,0,0,1,0,0,1
Brachypodium distachyon,Poaceae,0,0,1,1,0,1,0,0
Brassica carinata,Brassicaceae,0,0,0,0,0,1,0,0
Brassica juncea,Brassicaceae,0,0,0,1,0,0,0,0
Brassica oleracea,Brassicaceae,0,0,1,0,1,1,0,0
Bronwenia megaptera,Malpighiaceae,0,0,0,0,0,0,0,1
Broussonetia papyrifera,Moraceae,0,0,0,1,0,0,0,0
Burdachia,Malpighiaceae,0,0,0,0,0,0,0,1
Byrsonima coccolobifolia,Malpighiaceae,0,0,0,0,0,1,0,1
Byrsonima crassifolia,Malpighiaceae,0,0,0,0,0,1,0,1
Byrsonima intermedia,Malpighiaceae,0,0,0,0,0,1,0,1
Byrsonima sericea,Malpighiaceae,0,0,0,0,0,1,0,1
Byrsonima spicata,Malpighiaceae,0,0,0,0,0,1,0,1
Byrsonima verbascifolia,Malpighiaceae,0,0,0,0,0,1,0,1
Cajanus cajan,Fabaceae,0,0,0,0,0,1,0,0
Calamintha,Lamiaceae,0,0,0,0,1,0,0,0
Calea,Asteraceae,0,0,1,1,0,1,0,0
Camelina sativa,Brassicaceae,0,0,0,0,0,1,0,0
Camellia japonica,Theaceae,0,0,1,0,0,0,0,0
Camellia sinensis,Theaceae,0,0,0,1,0,1,0,0
Campomanesia,Myrtaceae,0,0,0,0,0,1,0,0
Canavalia gladiata,Fabaceae,0,0,0,0,0,1,0,0
Canna indica,Cannaceae,0,0,0,1,0,0,0,0
Cannabis sativa,Cannabaceae,0,1,0,0,0,0,1,0
Capsicum annuum,Solanaceae,0,0,0,0,0,0,0,1
Carica papaya,Caricaceae,0,0,0,1,0,1,0,0
Carya alba,Juglandaceae,0,0,0,1,0,0,0,0
Carya glabra,Juglandaceae,0,0,0,0,0,1,0,0
Carya illinoinensis,Juglandaceae,0,0,0,0,0,1,0,0
Carya ovata,Juglandaceae,0,0,0,1,0,0,0,0
Castanea mollissima,Fagaceae,0,0,0,0,0,1,0,0
