LABELS
#tree_taxonomy=family
SEPARATOR TAB
DATA
tax_24579	Menyanthaceae
tax_16472	Goodeniaceae
tax_4210	Asteraceae
tax_4381	Campanulaceae
tax_57707	Argophyllaceae
tax_41865	Stylidiaceae
tax_125017	Cardiopteridaceae
tax_4200	Caprifoliaceae
tax_4206	Adoxaceae
tax_4294	Aquifoliaceae
tax_42226	Helwingiaceae
tax_23121	Pittosporaceae
tax_4037	Apiaceae
tax_4050	Araliaceae
tax_42225	Griseliniaceae
tax_24584	Polemoniaceae
tax_55360	Marcgraviaceae
tax_125045	Pentaphylacaceae
tax_16611	Clethraceae
tax_4335	Primulaceae
tax_4339	Cyrillaceae
tax_4345	Ericaceae
tax_4353	Sarraceniaceae
tax_24902	Fouquieriaceae
tax_27065	Theaceae
tax_25692	Balsaminaceae
tax_19955	Ebenaceae
tax_3623	Actinidiaceae
tax_20008	Styracaceae
tax_20019	Symplocaceae
tax_3642	Lecythidaceae
tax_3737	Sapotaceae
tax_4118	Convolvulaceae
tax_4070	Solanaceae
tax_4130	Hydrophyllaceae
tax_1561072	Heliotropiaceae
tax_1561073	Ehretiaceae
tax_1561080	Cordiaceae
tax_21571	Boraginaceae
tax_4136	Lamiaceae
tax_4144	Oleaceae
tax_4149	Scrophulariaceae
tax_4180	Pedaliaceae
tax_4185	Acanthaceae
tax_4196	Lentibulariaceae
tax_155890	Calceolariaceae
tax_155891	Paulowniaceae
tax_41399	Phrymaceae
tax_156152	Plantaginaceae
tax_156201	Linderniaceae
tax_41867	Stilbaceae
tax_41868	Martyniaceae
tax_324794	Thomandersiaceae
tax_21910	Verbenaceae
tax_26122	Gesneriaceae
tax_24079	Bignoniaceae
tax_91896	Orobanchaceae
tax_4286	Garryaceae
tax_4390	Eucommiaceae
tax_24966	Rubiaceae
tax_21472	Gentianaceae
tax_83620	Gelsemiaceae
tax_26468	Loganiaceae
tax_4056	Apocynaceae
tax_4289	Nyssaceae
tax_23097	Hydrangeaceae
tax_42219	Cornaceae
tax_26766	Myricaceae
tax_26778	Nothofagaceae
tax_16714	Juglandaceae
tax_3503	Fagaceae
tax_3514	Betulaceae
tax_3520	Casuarinaceae
tax_112800	Achariaceae
tax_4268	Malpighiaceae
tax_112827	Lacistemataceae
tax_24921	Violaceae
tax_233879	Putranjivaceae
tax_233880	Phyllanthaceae
tax_233881	Picrodendraceae
tax_22973	Chrysobalanaceae
tax_55961	Clusiaceae
tax_72383	Caryocaraceae
tax_703253	Calophyllaceae
tax_629714	Hypericaceae
tax_629715	Irvingiaceae
tax_40029	Rhizophoraceae
tax_56627	Ochnaceae
tax_3683	Passifloraceae
tax_22118	Erythroxylaceae
tax_3688	Salicaceae
tax_3977	Euphorbiaceae
tax_4004	Linaceae
tax_4007	Humiriaceae
tax_4274	Polygalaceae
tax_3803	Fabaceae
tax_4305	Celastraceae
tax_192877	Brunelliaceae
tax_25889	Connaraceae
tax_26000	Elaeocarpaceae
tax_3776	Cunoniaceae
tax_85713	Huaceae
tax_4033	Oxalidaceae
tax_43873	Zygophyllaceae
tax_25996	Elaeagnaceae
tax_3474	Ulmaceae
tax_3481	Cannabaceae
tax_3487	Moraceae
tax_3499	Urticaceae
tax_3608	Rhamnaceae
tax_3745	Rosaceae
tax_3650	Cucurbitaceae
tax_3680	Begoniaceae
tax_4324	Salvadoraceae
tax_26958	Resedaceae
