TaxID	no rank	superkingdom	kingdom	phylum	class	order	family	genus	subgenus	species	varietas	subspecies	forma
13753			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Vernonia					
182999			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Acanthospermum		Acanthospermum hispidum			
3641			Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Theobroma		Theobroma cacao			
1745183			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Ageratum		Ageratum fastigiatum			
42336			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Bidens					
96273			Viridiplantae	Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Palicourea		Palicourea acuminata			
3046967			Viridiplantae	Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Palicourea		Palicourea brachiata			
1129519			Viridiplantae	Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Psychotria		Psychotria gracilenta			
77871			Viridiplantae	Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Psychotria		Psychotria capitata			
3046986			Viridiplantae	Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Palicourea		Palicourea deflexa			
96295			Viridiplantae	Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Psychotria		Psychotria hoffmannseggiana			
681427			Viridiplantae	Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Coussarea		Coussarea curvigemmia			
1087756			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Esula	Euphorbia biumbellata			
4113			Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Solanum		Solanum tuberosum			
38843			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Esula	Euphorbia amygdaloides			
4081			Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum subgen. Lycopersicon	Solanum lycopersicum			
2746968			Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Solanum		Solanum umbelliferum			
4072			Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Capsicum		Capsicum annuum			
4442			Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Theaceae	Camellia		Camellia sinensis			
53876			Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Erythrophleum					
38845			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Esula	Euphorbia dendroides			
39367			Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Salvia	Salvia subgen. Rosmarinus	Salvia rosmarinus			
3702			Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis		Arabidopsis thaliana			
212844			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Esula	Euphorbia acanthothamnos			
334663			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Euphorbia	Euphorbia aeruginosa			
154990			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Esula	Euphorbia helioscopia			
54672			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Esula	Euphorbia lagascae			
1138355			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Athymalus	Euphorbia ornithopus			
1129973			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Athymalus	Euphorbia balsamifera		Euphorbia balsamifera subsp. balsamifera	
1138348			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Euphorbia	Euphorbia lactea			
209321			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Euphorbia	Euphorbia cylindrifolia			
212981			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Euphorbia	Euphorbia sipolisii			
38846			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Esula	Euphorbia peplus			
38844			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Esula	Euphorbia cyparissias			
212960			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Chamaesyce	Euphorbia platyclada			
